date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2023-01-04,87,100,95,97,98,53,64,90,37500,40140,2640,6930,23970,6600,52,93,150,19920,2023-01-03T21:46:33+02:00,2023-01-04T08:55:33+02:00,61.52,56.0,56,-0.38,-0.13,17.125,94,98,100,78,100,99,482,2405,10237,9873,20700,38040,17340,4080,0,6240,1.46875,0,93,94,100,99,52,92,100,94,99
2023-01-05,89,100,97,98,99,61,67,85,33660,35820,2160,7860,18480,7320,43,94,210,17610,2023-01-04T22:35:59+02:00,2023-01-05T08:32:59+02:00,72.27,60.0,29,-0.21,-0.16,16.75,92,85,100,78,100,98,402,2308,8631,8138,27660,39780,15600,3240,120,0,1.40625,0,81,98,100,100,60,98,73,87,15
2023-01-06,87,100,95,96,90,56,78,74,35940,39780,3840,6870,22860,6210,54,90,420,20010,2023-01-05T22:16:18+02:00,2023-01-06T09:19:18+02:00,63.5,58.0,53,-0.24,-0.18,16.875,87,85,100,60,100,98,536,2483,9692,11010,27540,36540,17340,4800,180,0,1.53125,0,92,93,100,97,67,97,92,87,100
2023-01-07,74,96,61,88,95,52,32,48,31290,34680,3390,4350,21840,5100,52,90,2370,18120,2023-01-06T23:39:49+02:00,2023-01-07T09:17:49+02:00,66.67,60.0,39,-0.17,-0.13,16.75,93,94,100,78,100,98,479,2421,10184,9650,24300,38520,20340,3180,60,0,1.5,0,79,60,100,87,70,99,73,81,64
2023-01-09,83,86,76,81,100,63,78,98,27330,28860,1530,5010,18330,3990,42,95,420,14550,2023-01-08T23:00:20+02:00,2023-01-09T07:01:20+02:00,68.52,60.0,39,-0.11,-0.09,17.125,92,89,95,78,100,97,592,2551,11184,12023,25200,36840,18660,5580,120,0,1.5625,1,77,83,95,None,83,100,73,72,31
2023-01-10,78,83,50,96,98,53,70,100,27630,29820,2190,3570,17670,6390,45,93,240,14910,2023-01-09T20:56:32+02:00,2023-01-10T05:13:32+02:00,65.09,59.0,41,-0.23,-0.08,17.125,86,74,100,60,100,97,383,2346,8086,7120,33780,31380,14640,3420,180,3000,1.4375,0,80,71,85,86,83,97,83,68,87
2023-01-11,89,100,95,97,99,56,70,98,35610,37920,2310,6870,22170,6570,45,94,240,18960,2023-01-10T21:45:34+02:00,2023-01-11T08:17:34+02:00,65.8,59.0,42,-0.27,-0.12,17.125,93,91,100,78,100,98,581,2554,12614,11397,25080,35520,20820,4860,120,0,1.5625,0,87,99,89,91,88,96,83,66,100
2023-01-12,82,93,100,45,95,67,67,85,30210,33720,3510,9420,18090,2700,37,90,180,17370,2023-01-11T22:38:44+02:00,2023-01-12T08:00:44+02:00,78.81,60.0,24,-0.31,-0.18,17,88,92,100,60,100,97,375,2303,8094,6971,25020,40320,17460,2640,120,840,1.40625,0,71,81,85,90,86,94,73,45,22
2023-01-13,83,100,91,75,95,55,40,100,36510,40440,3930,6480,25650,4380,47,90,2190,21330,2023-01-12T20:35:46+02:00,2023-01-13T07:49:46+02:00,65.39,58.0,48,0.11,-0.04,17.25,92,88,100,78,100,100,804,2793,16498,16346,26940,32880,17340,9060,180,0,1.71875,0,85,83,91,100,89,96,92,49,100
2023-01-14,90,100,86,97,99,66,94,73,36090,38340,2250,6090,22800,7200,44,94,810,19380,2023-01-13T22:28:48+02:00,2023-01-14T09:07:48+02:00,65.02,56.0,46,0.06,0.09,17,94,99,100,78,100,100,869,2804,15168,18961,19020,36300,16620,7980,360,6120,1.71875,0,80,100,95,68,81,100,100,53,34
2023-01-15,90,100,91,95,96,63,91,72,34470,37020,2550,6480,22440,5550,49,93,1080,18810,2023-01-14T22:42:03+02:00,2023-01-15T08:59:03+02:00,66.8,59.0,48,0.09,0.17,18.25,93,93,100,78,100,100,321,2190,6847,6548,25020,45780,13080,2520,0,0,1.34375,0,81,100,99,70,72,97,82,65,49
2023-01-16,77,73,32,85,100,71,86,100,25200,26640,1440,2310,17940,4950,42,95,600,13380,2023-01-15T21:04:03+02:00,2023-01-16T04:28:03+02:00,65.87,61.0,48,0.03,0.15,18.125,88,58,100,78,100,99,410,2410,8520,8037,41700,23880,17820,3000,0,0,1.5,0,77,67,88,100,76,100,62,68,78
2023-01-17,90,100,91,100,95,64,78,85,36660,40920,4260,6480,19920,10260,39,90,420,20910,2023-01-16T21:40:01+02:00,2023-01-17T09:02:01+02:00,63.74,56.0,60,-0.02,0.11,17.5,99,100,100,95,100,99,531,2466,11160,10562,16860,39960,22740,3180,300,3360,1.5,0,91,100,93,85,78,100,100,81,89
2023-01-18,92,100,95,100,100,72,67,100,33180,35100,1920,6750,16680,9750,42,95,210,17700,2023-01-17T21:37:33+02:00,2023-01-18T07:22:33+02:00,66.77,60.0,46,0.21,0.17,17.75,93,96,100,78,100,97,346,2263,7841,6357,23100,41760,17820,1980,60,1680,1.375,0,86,100,93,96,78,87,72,81,75
2023-01-19,93,100,89,100,99,74,83,100,38280,40740,2460,6360,22140,9780,44,94,570,20790,2023-01-18T19:42:30+02:00,2023-01-19T07:01:30+02:00,62.47,53.0,60,0.11,0.22,17.625,93,80,78,95,100,99,628,2566,12374,12637,29880,34080,13500,6840,300,1800,1.59375,2,88,100,99,100,82,95,88,88,38
2023-01-20,85,96,78,96,95,50,86,84,31140,34620,3480,5580,19440,6120,60,90,600,17730,2023-01-19T22:34:20+02:00,2023-01-20T08:11:20+02:00,62.35,57.0,62,0.29,0.3,17.125,92,85,100,78,100,98,236,1980,5272,4666,5700,15240,7200,2760,0,0,1.59375,0,92,86,96,81,81,80,100,90,100
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,318,2222,6753,6118,24960,39120,13380,2100,120,6720,1.375,0,,,,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,78,87,100,25,100,94,138,2001,2850,2302,27780,39660,7680,480,240,10560,1.21875,0,,,,,,,,,
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,100,60,100,98,463,2436,9090,8640,28620,34080,17940,3960,120,1680,1.5,0,,,,,,,,,
2022-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,99,100,100,95,100,99,545,2382,2577,10118,6660,33180,6360,780,3600,35820,1.46875,0,,,,,,,,,
2022-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,95,98,100,95,100,100,289,2158,6456,5819,17700,46920,14820,1320,60,5580,1.3125,0,,,,,,,,,
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,1920,3968,32660,39937,16260,28440,17580,20760,1740,1620,2.4375,0,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,93,100,100,78,100,96,98,1926,2061,1810,10500,31260,7200,180,0,37260,1.1875,0,,,,,,,,,
