date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-11-08,92,100,100,99,100,72,89,77,40470,42660,2190,9270,22740,8460,39,95,660,21750,2022-11-07T21:41:30+02:00,2022-11-08T09:32:30+02:00,64.95,58.0,51,0.12,0.32,17.5,97,96,100,95,100,98,480,2403,10755,9972,22020,40200,19740,3120,60,1260,1.46875,0,89,100,88,100,80,94,98,79,70
2022-11-09,92,100,96,100,99,68,81,95,33900,36060,2160,7140,17760,9000,45,94,480,18240,2022-11-08T22:04:28+02:00,2022-11-09T08:05:28+02:00,67.08,59.0,49,-0.02,0.22,18,88,80,100,78,100,98,485,2450,10662,9635,30960,33780,17700,3900,60,0,1.5,0,86,100,92,99,80,100,89,80,51
2022-11-10,88,95,63,99,88,69,97,100,30720,35160,4440,4470,18060,8190,43,87,960,17130,2022-11-09T22:12:30+02:00,2022-11-10T07:58:30+02:00,64.13,57.0,49,0.07,0.18,17.625,88,99,100,78,100,97,380,2290,7558,7559,18660,35460,13380,3240,60,15600,1.40625,0,90,97,90,93,80,99,100,81,84
2022-11-11,90,94,84,96,93,64,99,100,30570,34200,3630,5970,18750,5850,47,89,900,17190,2022-11-10T21:49:30+02:00,2022-11-11T07:19:30+02:00,63.4,60.0,53,0.07,0.19,17.75,89,68,100,78,100,98,530,2524,10344,10646,35820,27600,18660,4200,120,0,1.5625,0,90,100,88,100,84,99,78,85,100
2022-11-12,73,94,27,96,83,50,72,53,30420,35760,5340,1980,22140,6300,50,85,300,17040,2022-11-11T23:47:30+02:00,2022-11-12T09:43:30+02:00,63.12,58.0,51,0.07,0.21,17.625,84,68,95,60,100,97,273,2221,5825,4945,34500,34260,16500,1140,0,0,1.375,1,87,58,87,100,91,99,97,86,100
2022-11-13,81,100,78,100,81,50,89,40,32640,39000,6360,5550,17580,9510,50,84,1110,19260,2022-11-12T23:37:30+02:00,2022-11-13T10:27:30+02:00,61.91,58.0,55,0.02,0.19,17.875,81,74,95,43,100,96,262,2145,5831,5136,33900,39060,11520,1860,60,0,1.3125,1,91,79,88,100,95,100,97,88,100
2022-11-15,86,100,94,95,99,61,70,63,34320,36480,2160,6690,21870,5760,43,94,210,18360,2022-11-14T23:08:22+02:00,2022-11-15T09:16:22+02:00,61.36,55.0,54,-0.08,0.09,17.875,84,90,100,43,100,95,508,2440,10650,10216,25860,37440,18840,4080,180,0,1.5,0,93,92,87,100,96,100,96,89,100
2022-11-16,79,78,68,97,86,57,75,100,26580,31080,4500,4830,14670,7080,43,86,360,16110,2022-11-15T22:23:31+02:00,2022-11-16T07:01:31+02:00,64.24,60.0,47,-0.14,0.03,17.75,87,83,100,60,100,97,618,2605,13678,12636,28860,31320,19980,6240,0,0,1.59375,0,85,74,80,90,99,100,77,88,100
2022-11-17,83,88,77,96,93,56,75,100,28890,32520,3630,5490,17460,5940,46,89,1440,16860,2022-11-16T22:17:31+02:00,2022-11-17T07:19:31+02:00,66.21,58.0,46,-0.26,-0.03,17.5,86,87,100,60,96,97,320,2240,7905,6168,27840,38760,13920,2580,0,3300,1.375,0,83,84,78,85,95,96,96,87,52
2022-11-18,79,72,74,95,86,55,99,100,24840,28860,4020,5250,13800,5790,43,86,900,14820,2022-11-17T20:31:40+02:00,2022-11-18T04:32:40+02:00,64.11,55.0,52,-0.11,-0.04,17.625,88,90,95,60,96,100,1309,3333,21858,27260,25680,25680,16020,15660,540,2820,2.0625,1,86,74,71,100,97,100,96,87,95
