,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,cycle phases
12,84.0,98.0,96.0,100.0,27.0,87.0,67.0,77.0,32580.0,53640.0,21060.0,7380.0,16140.0,9060.0,24.0,61.0,1590.0,32430.0,56.16,47.0,90.0,-0.06,-0.01,15.0,73.0,95.0,100.0,1.0,96.0,95.0,418.0,2131.0,10286.0,9422.0,24240.0,35220.0,24300.0,2580.0,60.0,0.0,1.5,0.0,93.0,78.0,96.0,87.0,90.0,100.0,100.0,97.0,100.0,FP
13,78.0,54.0,49.0,100.0,98.0,97.0,97.0,100.0,20790.0,22320.0,1530.0,3660.0,4980.0,12150.0,20.0,93.0,930.0,11220.0,55.38,49.0,81.0,-0.18,0.0,14.625,65.0,68.0,95.0,1.0,71.0,95.0,346.0,2074.0,9067.0,7541.0,36420.0,27360.0,20640.0,1980.0,0.0,0.0,1.46875,1.0,84.0,64.0,84.0,87.0,83.0,99.0,86.0,96.0,88.0,FP
14,94.0,99.0,99.0,100.0,97.0,95.0,75.0,80.0,32940.0,35700.0,2760.0,8640.0,15240.0,9060.0,24.0,92.0,390.0,16980.0,55.83,49.0,72.0,0.03,0.1,14.5,65.0,82.0,95.0,1.0,71.0,95.0,302.0,1982.0,7757.0,6892.0,28380.0,36180.0,17100.0,1800.0,0.0,2940.0,1.40625,1.0,90.0,100.0,89.0,80.0,81.0,100.0,86.0,93.0,100.0,FP
15,91.0,92.0,96.0,100.0,99.0,90.0,70.0,92.0,30750.0,32760.0,2010.0,7320.0,8040.0,15390.0,19.0,94.0,270.0,16020.0,53.54,46.0,87.0,-0.12,0.09,14.25,58.0,77.0,100.0,1.0,40.0,90.0,349.0,2044.0,9149.0,8190.0,31260.0,33300.0,20220.0,1560.0,60.0,0.0,1.4375,0.0,91.0,96.0,91.0,91.0,80.0,100.0,100.0,93.0,81.0,FP
16,90.0,97.0,97.0,100.0,95.0,82.0,75.0,66.0,32310.0,36000.0,3690.0,7860.0,10170.0,14280.0,20.0,90.0,390.0,17190.0,54.78,46.0,76.0,-0.22,0.03,14.75,56.0,81.0,95.0,1.0,40.0,93.0,276.0,1949.0,6478.0,6234.0,28200.0,34380.0,12180.0,2160.0,120.0,9360.0,1.375,1.0,92.0,93.0,94.0,84.0,77.0,98.0,100.0,90.0,97.0,FP
17,82.0,85.0,79.0,100.0,74.0,91.0,75.0,62.0,28980.0,35880.0,6900.0,5880.0,10110.0,12990.0,26.0,81.0,390.0,16590.0,52.31,46.0,94.0,0.09,0.08,14.125,46.0,49.0,100.0,1.0,40.0,78.0,164.0,1856.0,4315.0,3458.0,39660.0,33660.0,11880.0,720.0,0.0,480.0,1.3125,0.0,90.0,73.0,93.0,91.0,78.0,97.0,100.0,91.0,100.0,FP
18,86.0,76.0,75.0,100.0,100.0,98.0,97.0,77.0,26370.0,27840.0,1470.0,5610.0,8190.0,12570.0,16.0,95.0,960.0,13980.0,53.45,48.0,84.0,-0.21,0.06,14.625,61.0,76.0,100.0,1.0,40.0,74.0,275.0,1975.0,7051.0,6077.0,32520.0,34140.0,16680.0,1380.0,0.0,1680.0,1.40625,0.0,90.0,83.0,90.0,90.0,83.0,98.0,92.0,90.0,100.0,FP
19,89.0,81.0,95.0,100.0,100.0,91.0,72.0,100.0,27720.0,28860.0,1140.0,7110.0,9360.0,11250.0,20.0,96.0,300.0,14520.0,55.23,51.0,79.0,-0.22,0.0,14.125,59.0,83.0,100.0,1.0,1.0,79.0,352.0,2049.0,8598.0,7781.0,29340.0,31320.0,20940.0,2280.0,120.0,2400.0,1.4375,0.0,86.0,91.0,88.0,90.0,83.0,98.0,67.0,89.0,100.0,FP
20,87.0,97.0,97.0,100.0,58.0,84.0,67.0,84.0,32130.0,43260.0,11130.0,7920.0,13860.0,10350.0,24.0,74.0,180.0,18120.0,58.8,52.0,79.0,0.15,0.08,14.875,58.0,80.0,100.0,1.0,1.0,81.0,349.0,2077.0,9230.0,7564.0,24060.0,37860.0,22500.0,1980.0,0.0,0.0,1.46875,0.0,85.0,86.0,92.0,87.0,81.0,92.0,60.0,88.0,100.0,FP
21,85.0,75.0,72.0,100.0,98.0,88.0,81.0,100.0,26280.0,28260.0,1980.0,5400.0,7440.0,13440.0,16.0,93.0,510.0,13860.0,56.52,49.0,85.0,-0.15,0.11,14.5,56.0,92.0,100.0,1.0,1.0,69.0,138.0,1788.0,3576.0,2855.0,25380.0,28140.0,9540.0,600.0,0.0,22740.0,1.28125,0.0,80.0,81.0,87.0,95.0,80.0,100.0,85.0,88.0,29.0,FP
